FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.1964,1964,POINT (16.320755939615818 48.2059754414139),Br¸ﬂlgasse,Br¸ﬂlgasse,48A,179,
OEFFHALTESTOGD.1965,1965,POINT (16.31868496101135 48.208910271537),Possingergasse/Koppstraﬂe,Possingergasse/Koppstraﬂe,48A,1037,
OEFFHALTESTOGD.1966,1966,POINT (16.310146188441433 48.20995476967885),Ottakring,Ottakring,48A,981,
OEFFHALTESTOGD.1967,1967,POINT (16.309962207631198 48.21023448144689),Ottakring,Ottakring,"45A, 46A, 46B, 48A",981,
OEFFHALTESTOGD.1968,1968,POINT (16.305531155214716 48.21070769953176),Rankgasse,Rankgasse,48A,1489,
OEFFHALTESTOGD.1969,1969,POINT (16.304838085323585 48.20868411204409),Joachimsthalerplatz,Joachimsthalerplatz,48A,597,
OEFFHALTESTOGD.1970,1970,POINT (16.293673152754323 48.20725696182588),Waid‰ckergasse,Waid‰ckergasse,48A,1439,
OEFFHALTESTOGD.1971,1971,POINT (16.283950209482615 48.20699823492243),Reichmanngasse,Reichmanngasse,48A,1082,
OEFFHALTESTOGD.1972,1972,POINT (16.280474888581345 48.206931774718555),Otto-Wagner-Spital,Otto-Wagner-Spital,48A,1049,
OEFFHALTESTOGD.1973,1973,POINT (16.28004421664113 48.20684174813691),Otto-Wagner-Spital,Otto-Wagner-Spital,48A,1049,
OEFFHALTESTOGD.1974,1974,POINT (16.26135173701791 48.1979320011625),H¸tteldorf,H¸tteldorf,"47B, 49A, 50A, 50B, 52A, 52B",560,
OEFFHALTESTOGD.1975,1975,POINT (16.255372609231184 48.2024791798005),"H¸tteldorf, Bujattigasse","H¸tteldorf, Bujattigasse","49A, 50A",184,
OEFFHALTESTOGD.1976,1976,POINT (16.252590269098906 48.20391708094517),Wolfersberggasse,Wolfersberggasse,"49A, 50A, 50B",1501,
OEFFHALTESTOGD.1977,1977,POINT (16.301098367112214 48.2282203594989),Dornbacher Straﬂe,Dornbacher Straﬂe,44A,241,
OEFFHALTESTOGD.1978,1978,POINT (16.283163331126836 48.22607701006075),Heuberg Schutzhaus,Heuberg Schutzhaus,44A,514,
OEFFHALTESTOGD.1979,1979,POINT (16.277616273376196 48.18752819828026),Preindlgasse,Preindlgasse,"53A, 54A",1044,
OEFFHALTESTOGD.1980,1980,POINT (16.2604257324284 48.19604373743696),H¸tteldorf,H¸tteldorf,53A,560,
OEFFHALTESTOGD.1981,1981,POINT (16.275014029474757 48.1919434099294),Ober Sankt Veit,Ober Sankt Veit,"54A, 54B",956,
OEFFHALTESTOGD.1982,1982,POINT (16.26085199443951 48.18050711007221),Stock im Weg,Stock im Weg,54B,1326,
OEFFHALTESTOGD.1983,1983,POINT (16.39635315921711 48.259152344938826),Am Spitz,Am Spitz,34A,50,
OEFFHALTESTOGD.1984,1984,POINT (16.36885242386403 48.2776909145368),Schwarzlackenau,Schwarzlackenau,34A,1506,
OEFFHALTESTOGD.1985,1985,POINT (16.380619881708128 48.28616131728496),"Bahnhof, Strebersdorf","Bahnhof, Strebersdorf",34A,1333,
OEFFHALTESTOGD.1986,1986,POINT (16.400653516904367 48.25610099237473),Floridsdorf,Floridsdorf,"20A, 28A, 33A",334,
OEFFHALTESTOGD.1987,1987,POINT (16.394757678890272 48.25452302934344),Matth‰us-Jiszda-Straﬂe,Matth‰us-Jiszda-Straﬂe,"20A, 33A",848,
OEFFHALTESTOGD.1988,1988,POINT (16.397557827393907 48.257560977912796),Am Spitz,Am Spitz,33A,50,
OEFFHALTESTOGD.1989,1989,POINT (16.44061282503893 48.26347099243432),Leopoldauer Platz,Leopoldauer Platz,"27A, 29A",771,
OEFFHALTESTOGD.1990,1990,POINT (16.438856512096326 48.26900761345345),Dopschstraﬂe,Dopschstraﬂe,29A,239,
OEFFHALTESTOGD.1991,1991,POINT (16.451476627352097 48.278259411531806),Leopoldau,Leopoldau,32A,769,
OEFFHALTESTOGD.1992,1992,POINT (16.453167458473967 48.27067698157009),Haberditzlgasse,Haberditzlgasse,29A,454,
OEFFHALTESTOGD.1993,1993,POINT (16.45198108382602 48.27040649553686),Bubergasse,Bubergasse,29A,180,
OEFFHALTESTOGD.1994,1994,POINT (16.410175041730984 48.27582567238964),Berzeliusgasse,Berzeliusgasse,"30A, 36A",130,
OEFFHALTESTOGD.1995,1995,POINT (16.413737713394895 48.274213526589044),Skraupstraﬂe,Skraupstraﬂe,30A,1268,
OEFFHALTESTOGD.1996,1996,POINT (16.40486384921522 48.276900032617476),Haspingerplatz,Haspingerplatz,36A,483,
OEFFHALTESTOGD.1997,1997,POINT (16.404516595163525 48.27746246948745),Haspingerplatz,Haspingerplatz,"30A, 32A",483,
OEFFHALTESTOGD.1998,1998,POINT (16.406489324943895 48.281583279355935),Bernreiterplatz,Bernreiterplatz,"30A, 32A",128,
OEFFHALTESTOGD.1999,1999,POINT (16.438062204826174 48.25975428273239),Doeltergasse,Doeltergasse,27A,232,
OEFFHALTESTOGD.2000,2000,POINT (16.400801850377267 48.2801333658125),"Groﬂjedlersdorf, Jochbergengasse","Groﬂjedlersdorf, Jochbergengasse",32A,598,
OEFFHALTESTOGD.2001,2001,POINT (16.40793066066778 48.2772573802415),Groﬂjedlersdorf,Groﬂjedlersdorf,32A,431,
OEFFHALTESTOGD.2002,2002,POINT (16.406115569155798 48.28117051836274),Bernreiterplatz,Bernreiterplatz,32A,128,
OEFFHALTESTOGD.2003,2003,POINT (16.448900819755956 48.28443596173674),Achengasse,Achengasse,32A,2,
OEFFHALTESTOGD.2004,2004,POINT (16.34913974119036 48.23740171249453),Hardtgasse,Hardtgasse,35A,474,
